,full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,Hosp_Name
7,"April 16, 2019
""Do not apply""
Current Employee - Senior Customer Service Representative in Chicago, IL
Doesn't Recommend
Negative Outlook
No opinion of CEO
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than a year
Pros
Tuition benefits for state universities
Cons
Pay extremely low
High work load
Lazy nurses
Advice to Management
Pay your people a living wage I can't even pay the rent for a one bedroom with my salary in the city of Chicago with my pay here. I got paid way more at Cook County and had less work load than I do currently here.
Helpful",Tue Apr 16 2019 16:57:57 GMT-0400 (Eastern Daylight Time), Senior Customer Service Representative,"Chicago, IL",Current Employee ,Do not apply,1.0,1.0,1.0,5.0,2.0,1.0,University of Illinois Hospital and Health Sciences System
8,"June 10, 2018
""none""
Current Employee - RN Staff Nurse in Chicago, IL
Recommends
Positive Outlook
No opinion of CEO
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than 10 years
Pros
teaching hospital, urban environment, good benefits, Union
Cons
i dont have anything bad to say
Helpful",Sun Jun 10 2018 19:38:17 GMT-0400 (Eastern Daylight Time), RN Staff Nurse,"Chicago, IL",Current Employee ,none,5.0,3.0,3.0,5.0,5.0,3.0,University of Illinois Hospital and Health Sciences System
9,"January 30, 2018
""Bioinformatic specialist""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System full-time
Pros
Great community. Colleagues are friendly
Cons
Can not think one right now
Helpful",Tue Jan 30 2018 09:35:28 GMT-0500 (Eastern Standard Time),,,Current Employee ,Bioinformatic specialist,5.0,,,,,,University of Illinois Hospital and Health Sciences System
10,"July 27, 2017
Helpful (1)
""Working at UIC""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System part-time for more than 10 years
Pros
they are very flexible with my schedule
Cons
There are clicks on every unit and it's hard sometimes to avoid the drama.
Advice to Management
Get rid of the bad apples.
Helpful (1)",Thu Jul 27 2017 06:47:03 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Working at UIC,4.0,,,,,,University of Illinois Hospital and Health Sciences System
11,"July 14, 2017
""Good Work Place""
Former Employee - Anonymous Employee 
Recommends
Positive Outlook
Approves of CEO
I worked at University of Illinois Hospital & Health Sciences System part-time
Pros
Get to choose the work timings
Cons
Dressing professionally is mandatory for Data coordination work.
Helpful",Fri Jul 14 2017 10:46:19 GMT-0400 (Eastern Daylight Time),,,Former Employee ,Good Work Place,4.0,3.0,4.0,3.0,3.0,4.0,University of Illinois Hospital and Health Sciences System
12,"June 25, 2017
Helpful (1)
""UIHealth Review""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System part-time
Pros
Great teamwork and hard working health care professionals.
Cons
no downsides to working at UIHealth.
Helpful (1)",Sun Jun 25 2017 20:44:13 GMT-0400 (Eastern Daylight Time),,,Current Employee ,UIHealth Review,5.0,4.0,4.0,4.0,4.0,4.0,University of Illinois Hospital and Health Sciences System
13,"May 23, 2017
""Hospital Internship""
MSW/Mental Health Professional in Chicago, IL
I worked at University of Illinois Hospital & Health Sciences System for more than 5 years
Pros
Working collaboratively with other disciplines to treat the patient.
Cons
Can be daunting and/or confusing if you are not familiar with medical terminology.
Helpful",Tue May 23 2017 16:32:32 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","MSW/Mental Health Professional in Chicago, IL",Hospital Internship,4.0,,,,,,University of Illinois Hospital and Health Sciences System
14,"April 14, 2017
Helpful (1)
""On the decline...""
Former Employee - Management in Chicago, IL
Doesn't Recommend
Negative Outlook
Approves of CEO
I worked at University of Illinois Hospital & Health Sciences System full-time for more than a year
Pros
fun staff activities; prestigious reputation; great benefits; awesome people; good community involvement and opportunities for volunteering.
Cons
Poor management; horrible communication; lazy employees; very stressful environment; pension system changes; union contracts take forever to negotiate.
Advice to Management
Wise up and start using the disciplinary process to weed out the bad managers who keep hiring lazy employees and doing nothing about it!
Helpful (1)",Fri Apr 14 2017 08:23:48 GMT-0400 (Eastern Daylight Time), Management,"Chicago, IL",Former Employee ,On the decline...,3.0,2.0,3.0,3.0,4.0,3.0,University of Illinois Hospital and Health Sciences System
15,"March 21, 2017
Helpful (2)
""Research assistant""
Former Employee - Research Assistant in Chicago, IL
Recommends
Positive Outlook
Approves of CEO
I worked at University of Illinois Hospital & Health Sciences System part-time for more than 3 years
Pros
Fulfilling, there is plenty of room for growth... great benefits and also tuition incentives for employees and their families. Lots of opportunities within the university for networking
Cons
Pay. The state has had numerous budget cuts which make raises and bonuses few and far between. My dept had a specifically high turnover rate because of this
Helpful (2)",Tue Mar 21 2017 17:27:03 GMT-0400 (Eastern Daylight Time), Research Assistant,"Chicago, IL",Former Employee ,Research assistant,5.0,3.0,5.0,5.0,3.0,3.0,University of Illinois Hospital and Health Sciences System
16,"March 4, 2017
Helpful (1)
""JOB Role""
Current Employee - Patient Access in Chicago, IL
Recommends
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System part-time for less than a year
Pros
Good working atmosphere and friendly staff
Cons
Less pay compared to other jobs
Helpful (1)",Sat Mar 04 2017 14:42:11 GMT-0500 (Eastern Standard Time), Patient Access,"Chicago, IL",Current Employee ,JOB Role,5.0,5.0,5.0,5.0,5.0,5.0,University of Illinois Hospital and Health Sciences System
17,"January 5, 2017
""Program Service Aide""
Community Health Worker in Chicago, IL
Recommends
Positive Outlook
I have been working at University of Illinois Hospital & Health Sciences System for less than a year
Pros
Great opportunity for advancement
Fair pay
Educational benefits
Superior mentors
Cons
Slow to hire
High work load
Advice to Management
Keep valuing your subordinates; they will work hard for you because you work hard for them.
Helpful",Thu Jan 05 2017 07:49:12 GMT-0500 (Eastern Standard Time),,"Chicago, IL","Community Health Worker in Chicago, IL",Program Service Aide,4.0,3.0,4.0,4.0,4.0,4.0,University of Illinois Hospital and Health Sciences System
18,"December 22, 2016
""Good culture""
 I worked at University of Illinois Hospital & Health Sciences System
Pros
The people are nice
Managers are laid back
Easy to take time off
Not too many meetings
A lot of financial security
Cons
Low pay
Not many benefits
There is a lot of ""tenure culture""
Advice to Management
Bonuses
Helpful",Thu Dec 22 2016 13:28:52 GMT-0500 (Eastern Standard Time),,, ,Good culture,4.0,5.0,3.0,4.0,3.0,3.0,University of Illinois Hospital and Health Sciences System
19,"November 30, 2016
""Graduate Research Assistant""
Graduate Research Assistant in Chicago, IL
Recommends
I have been working at University of Illinois Hospital & Health Sciences System for less than a year
Pros
Flexible working time, good benefit
Cons
Depends on departments. Every department has it's own way of management.
Helpful",Wed Nov 30 2016 09:27:37 GMT-0500 (Eastern Standard Time),,"Chicago, IL","Graduate Research Assistant in Chicago, IL",Graduate Research Assistant,4.0,4.0,4.0,3.0,3.0,4.0,University of Illinois Hospital and Health Sciences System
20,"November 14, 2016
""Data Management and Research Analyst""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System part-time
Pros
Flexibility of work, great people to work around, Smart minds everywhere, constant growth opportunities
Cons
Systems in use has few limitations though they are improving on that
Helpful",Mon Nov 14 2016 11:24:11 GMT-0500 (Eastern Standard Time),,,Current Employee ,Data Management and Research Analyst,5.0,4.0,4.0,4.0,4.0,4.0,University of Illinois Hospital and Health Sciences System
21,"October 28, 2016
Helpful (1)
""Hospital review""
Physician in Chicago, IL
Recommends
Positive Outlook
I have been working at University of Illinois Hospital & Health Sciences System for more than 5 years
Pros
Staff are friendly and competent. Dedication to improving high level of practice over all, and in creating nation wide centers in specific procedures such as bone marrow transplant for sickle cell patients.
Cons
Budget is unfortunately limited in some aspects, particularly in light of Gov Rauner's refusal to approve Illinois state budget.
Advice to Management
Excellent improvement in staff acknowledgements. Need significant improvements in research support (ie IRB review process) and CME credit processing.
Helpful (1)",Fri Oct 28 2016 11:32:04 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","Physician in Chicago, IL",Hospital review,4.0,5.0,4.0,4.0,3.0,4.0,University of Illinois Hospital and Health Sciences System
22,"October 9, 2016
""or rn""
 Recommends
Positive Outlook
I have been working at University of Illinois Hospital & Health Sciences System
Pros
love my job and my colleagues.
Cons
Some doctors are mean to the nurses
Helpful",Sun Oct 09 2016 18:29:53 GMT-0400 (Eastern Daylight Time),,, ,or rn,2.0,,,,,,University of Illinois Hospital and Health Sciences System
23,"September 27, 2016
Helpful (2)
""Manager""
Former Employee - Manager in Chicago, IL
Doesn't Recommend
Negative Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 5 years
Pros
Good benefits, tuition reimbursement good.
Cons
Organization culture is negative, hostile and high stress, High turnovers, dissatisfaction, weakness and tension. Employees have no respect each other or their superiors. No accountability for getting things done in any department. No vision or drive.. Departments have excuses for completing projects that has to be done. Employees are not open to managerial changes. Employees are intimidated and even terrified of...
Show More
Advice to Management
Create an environment of accountability within the organization. Sustain a sense of competency. Increase employees salaries not just nurses, doctors or executives. If you take care of your people they will take care of the organization. They will come to work with a better attitude have something to look forward to the future because the working toward an reward. The system is broking, change the pay structure for...
Show More
Helpful (2)",Tue Sep 27 2016 03:56:34 GMT-0400 (Eastern Daylight Time), Manager,"Chicago, IL",Former Employee ,Manager,2.0,2.0,1.0,2.0,3.0,2.0,University of Illinois Hospital and Health Sciences System
24,"September 13, 2016
""Physical therapist""
Current Employee - Physical Therapist in Chicago, IL
Doesn't Recommend
Negative Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than a year
Pros
great benefits as far as vacation and sick time
Cons
Paid less than city and national average, HR process takes a long time
Advice to Management
Could receive feedback better.
Helpful",Tue Sep 13 2016 12:31:01 GMT-0400 (Eastern Daylight Time), Physical Therapist,"Chicago, IL",Current Employee ,Physical therapist,3.0,3.0,3.0,2.0,3.0,2.0,University of Illinois Hospital and Health Sciences System
25,"August 24, 2016
Helpful (1)
""RN""
Registered Nurse in Chicago, IL
Recommends
Positive Outlook
I have been working at University of Illinois Hospital & Health Sciences System
Pros
great benefits, flexible shift, tuition reimbursement and great opportunity for career advancement
Cons
lack of resources at times
ancillary staff needs extra guidance
Advice to Management
provide more support to staff
Helpful (1)",Wed Aug 24 2016 17:40:48 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","Registered Nurse in Chicago, IL",RN,4.0,4.0,4.0,4.0,4.0,3.0,University of Illinois Hospital and Health Sciences System
26,"August 21, 2016
Helpful (2)
""Benefits""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System part-time for more than 8 years
Pros
Benefits are great. They still offer pension, however retirement age is higher for new hires
Cons
State budget issues affect fiscal livelihood and benefits
Helpful (2)",Sun Aug 21 2016 22:02:16 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Benefits,4.0,4.0,3.0,3.0,4.0,4.0,University of Illinois Hospital and Health Sciences System
27,"August 6, 2016
""Assistant""
 in Chicago, IL
Recommends
I worked at University of Illinois Hospital & Health Sciences System
Pros
Good benefits and vacation package.
Cons
Slow in process improvement, it takes a long time to implement new processes.
Helpful",Sat Aug 06 2016 15:44:15 GMT-0400 (Eastern Daylight Time),,"Chicago, IL"," in Chicago, IL",Assistant,4.0,5.0,3.0,2.0,5.0,3.0,University of Illinois Hospital and Health Sciences System
28,"September 3, 2016
Helpful (1)
""Food Sanitation Laborer""
Food Sanitation Laborer in Chicago, IL
Doesn't Recommend
Negative Outlook
I have been working at University of Illinois Hospital & Health Sciences System
Pros
Made a lot of friends created a very good work relationship with my Supervisor
Cons
Management harassment just ran poorly
Advice to Management
New Management is needed asap
Helpful (1)",Sat Sep 03 2016 16:10:52 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","Food Sanitation Laborer in Chicago, IL",Food Sanitation Laborer,1.0,1.0,1.0,1.0,1.0,1.0,University of Illinois Hospital and Health Sciences System
29,"August 7, 2016
Helpful (1)
""Mediocre Place of Employment""
 Doesn't Recommend
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System
Pros
Decent benefits, a lot of time off
Cons
State budget affects patient care
Helpful (1)",Sun Aug 07 2016 13:22:23 GMT-0400 (Eastern Daylight Time),,, ,Mediocre Place of Employment,3.0,3.0,2.0,3.0,3.0,3.0,University of Illinois Hospital and Health Sciences System
30,"July 15, 2016
""MLT (Medical Lab Technician) in the Gross Room""
MLT III in Chicago, IL
Recommends
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System for more than a year
Pros
Good pay
Good benefits
Secure
Work environment can be hostile 
Upper level management does not recognize when the need for more help
Cons
HR sucks
Administration dehumanizes its employees
Helpful",Fri Jul 15 2016 17:40:39 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","MLT III in Chicago, IL",MLT (Medical Lab Technician) in the Gross Room,3.0,2.0,2.0,3.0,3.0,2.0,University of Illinois Hospital and Health Sciences System
31,"June 23, 2016
Helpful (1)
""Nurse Technician""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System part-time
Pros
benefits, pay rate, professional development opportunities, union
Cons
nurse to patient ratio, staffing, census
Helpful (1)",Thu Jun 23 2016 14:17:38 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Nurse Technician,4.0,,,,,,University of Illinois Hospital and Health Sciences System
32,"June 28, 2016
""Working at the Hospital""
Current Employee - Anonymous Employee 
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than a year
Pros
A lot of project opportunities for experience
Cons
Not much career progression opportunities for nonclinical staff.
Helpful",Tue Jun 28 2016 07:38:19 GMT-0400 (Eastern Daylight Time),,,Current Employee ,Working at the Hospital,3.0,4.0,3.0,2.0,2.0,3.0,University of Illinois Hospital and Health Sciences System
33,"June 15, 2016
""Great leaning experience""
Medical Technologist I in Chicago, IL
I worked at University of Illinois Hospital & Health Sciences System for more than 5 years
Pros
Leaned a lot working with pathologists
Coworkers were very friendly
Department holiday parties, bbq's, and Lab Week events were good
Cons
Management is not qualified for their positions. No opportunity for growth. EXTREMELY understaffed. Micromanagement is beyond ridiculous, techs are grossly underpaid, mandatory pension contribution is steep, annual performance/cost of living increases are not guaranteed, vacation requests are based on seniority and are frequently denied due to operational needs. Training is not adequate due to departments being...
Show More
Advice to Management
See cons
Helpful",Wed Jun 15 2016 15:26:57 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","Medical Technologist I in Chicago, IL",Great leaning experience,3.0,,,,,,University of Illinois Hospital and Health Sciences System
34,"May 25, 2016
Helpful (2)
""UI Health""
Current Employee - Anonymous Employee 
Positive Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time
Pros
Great co-workers
Great benefits
Excellent University and resources
Cons
Revolving door on the C-suite has lead to insecurities and decreased morale.
The tenor of meetings has become less friendly.
Advice to Management
Acknowledge that there has been much change and that things will indeed stabilize soon.
Helpful (2)",Wed May 25 2016 17:07:11 GMT-0400 (Eastern Daylight Time),,,Current Employee ,UI Health,4.0,3.0,3.0,4.0,5.0,3.0,University of Illinois Hospital and Health Sciences System
35,"May 21, 2016
Helpful (1)
""Nursing""
 Recommends
Neutral Outlook
I worked at University of Illinois Hospital & Health Sciences System
Pros
Benefits are very good, State of Illinois employee. good pension; insurance follows you through retirement; stable income; some positions are civil service
Cons
sometimes long hours, short breaks
Helpful (1)",Sat May 21 2016 18:28:43 GMT-0400 (Eastern Daylight Time),,, ,Nursing,4.0,3.0,3.0,3.0,5.0,3.0,University of Illinois Hospital and Health Sciences System
36,"January 18, 2016
Helpful (1)
""Admitting Officer III""
Former Employee - Admitting Officer III in Chicago, IL
Recommends
Positive Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 3 years
Pros
Great place to work. Great co-workers and pay.
Cons
Over worked and always short staffed.
Helpful (1)",Mon Jan 18 2016 08:13:03 GMT-0500 (Eastern Standard Time), Admitting Officer III,"Chicago, IL",Former Employee ,Admitting Officer III,5.0,5.0,5.0,1.0,5.0,1.0,University of Illinois Hospital and Health Sciences System
37,"January 21, 2016
Helpful (1)
""Nurse""
Current Employee - Nurse in Chicago, IL
Doesn't Recommend
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time
Pros
Great pay for nursing staff, very safe patient to nurse ratio, interesting cases allowing for a lot of learning experiences
Cons
Difficult patient population. Burned out staff shows favoritism and is rude and unhelpful to both patients and coworkers. Innovation and creativity is looked down upon, no room for growth.
Advice to Management
Emphasize teamwork more, listen to the staff.
Helpful (1)",Thu Jan 21 2016 22:07:43 GMT-0500 (Eastern Standard Time), Nurse,"Chicago, IL",Current Employee ,Nurse,1.0,4.0,1.0,3.0,5.0,2.0,University of Illinois Hospital and Health Sciences System
38,"October 30, 2015
Helpful (3)
""Be Careful What You Say""
Former Employee - Anonymous Employee in Chicago, IL
Doesn't Recommend
Neutral Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 3 years
Pros
Ability to serve patients who have very limited access to medical care. Many bi-lingual Spanish speaking staff members. Many efforts have been made to improve the quality of service and some building renovations.
Cons
Employee suggestions for improvement can be dismissed, or met with opposition. Employee can be singled out and be treated differently for making a suggestion or bringing a specific occurrence to light.
Advice to Management
Stop treating employees differently. Listen to employee ideas and work to implement those that are necessary and feasible. It should be an honor and a privilege to serve patients who need medical care and have limited choices for their providers.
Helpful (3)",Fri Oct 30 2015 07:18:06 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Former Employee ,Be Careful What You Say,3.0,2.0,2.0,3.0,4.0,2.0,University of Illinois Hospital and Health Sciences System
39,"July 31, 2015
""IT associate""
Former Employee - Anonymous Employee in Chicago, IL
Recommends
Positive Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 10 years
Pros
Good employer, managers are good people and the other employees are good people
Cons
Like most places execs are shady. Get the most in regards to salary when you first start because big raises dont happen later.
Advice to Management
support your employees and get educated about the teams that you manage and you will get more reapect.
Helpful",Fri Jul 31 2015 22:03:18 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Former Employee ,IT associate,3.0,5.0,4.0,4.0,4.0,1.0,University of Illinois Hospital and Health Sciences System
40,"July 13, 2015
Helpful (3)
""EMT in Emergency Department""
EMT in Chicago, IL
Doesn't Recommend
Neutral Outlook
I worked at University of Illinois Hospital & Health Sciences System
Pros
Large academic medical center, with a lot of really bright minds around. Offer EMTs more independence than a lot of other hospitals
Cons
It is a really disorganized, state funded hospital. Definitely could use more structure in the ED, controlled chaos is putting it lightly. EMTs are required to do far to much and staffed far too lightly.
Advice to Management
Implement more standardized protocols, stop locking all the supplies in the machines, it makes it so hard to find anything and takes too long, get some dedicated transporters for the ED.
Helpful (3)",Mon Jul 13 2015 09:45:10 GMT-0400 (Eastern Daylight Time),,"Chicago, IL","EMT in Chicago, IL",EMT in Emergency Department,3.0,3.0,3.0,4.0,,,University of Illinois Hospital and Health Sciences System
41,"July 18, 2015
""UIC Hospital is a state run hospital so beware""
Current Employee - Anonymous Employee 
Doesn't Recommend
Negative Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time
Pros
It's a decent place to work if your job doesn't get reclassified and/or eliminated
Cons
They are constantly eliminating positions and letting go of people, then reclassifying rehiring new people.
Helpful",Sat Jul 18 2015 12:12:39 GMT-0400 (Eastern Daylight Time),,,Current Employee ,UIC Hospital is a state run hospital so beware,1.0,,,,,,University of Illinois Hospital and Health Sciences System
42,"June 10, 2015
""HR Professional""
Current Employee - Anonymous Employee 
Recommends
Positive Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than 3 years
Pros
A wonderful place to work and be a part of something that contributes to the great good. Decent salaries offered and great benefits. Awesome time off. Balanced workload. Many training and development opportunities. Very good opportunities for growth.
Cons
The only limiting factor that can sometimes occur involve changing jobs as positions are considered state employment and bound by classification rules.
Helpful",Wed Jun 10 2015 11:54:25 GMT-0400 (Eastern Daylight Time),,,Current Employee ,HR Professional,5.0,4.0,5.0,4.0,4.0,5.0,University of Illinois Hospital and Health Sciences System
43,"May 9, 2015
Helpful (1)
""Don't do more than your share""
Former Employee - Anonymous Employee in Chicago, IL
Doesn't Recommend
Negative Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time
Pros
Great benefits in pay, health, retirement, easy location, tuition reimbursement, annual raises based on union membership.
Cons
Ridiculous amount of work. There are more work than anyone can personally accomplish. It will overwhelm you. The game plan is to do the least amount of work possible, just enough to keep your job, and then go home at exactly when you need to. Volunteering for more work will not help you gain pay or promotion. If you are looking for a place to dedicate to, this is definitely not the place. If you need something done,...
Show More
Advice to Management
Good luck. Those that are there for a long time are lazy, and it's because of the workload. Stop cutting back on personnel. I'm surprised that there are patients that goes to this hospital by the way it is ran.
Helpful (1)
University of Illinois Hospital & Health Sciences System Response
July 7, 2015 – Human Resources Business Partner
At UI Health, we recognize the importance of work-life balance and value the contributions of our employees. We encourage our staff to work with management in developing a personalized time management plan, to creates a better workload balance which allows each employee to reach his ...
Show More",Sat May 09 2015 20:50:53 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Former Employee ,Don't do more than your share,2.0,3.0,1.0,1.0,5.0,1.0,University of Illinois Hospital and Health Sciences System
44,"January 10, 2015
Helpful (1)
""Not a good place to work""
Current Employee - Clerical 
Doesn't Recommend
Negative Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than 8 years
Pros
Job security, paid time off, nice co workers
Cons
very low pay, sexist, racist, and dead end.
Advice to Management
Leave your bias at home.
Helpful (1)",Sat Jan 10 2015 10:37:12 GMT-0500 (Eastern Standard Time), Clerical,,Current Employee ,Not a good place to work,1.0,4.0,1.0,1.0,1.0,1.0,University of Illinois Hospital and Health Sciences System
45,"November 12, 2014
""Good working environment and intelligent faculty""
Former Employee - Administrative Assistant in Chicago, IL
Recommends
Neutral Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 3 years
Pros
This is a great place to work if you are higher up in management. There is a good oppertunity to grow. Compensation could be better and facilities could be better.
Cons
It takes alot of time to get paperwork and payments made because of university procedure. Things still work heavily by paper which could be made electronic. Some physicians tend to look down at administrative assistants.
Advice to Management
Update the hospital. The instution is amazing but needs a technological over haul
Helpful",Wed Nov 12 2014 12:14:12 GMT-0500 (Eastern Standard Time), Administrative Assistant,"Chicago, IL",Former Employee ,Good working environment and intelligent faculty,3.0,4.0,4.0,4.0,3.0,3.0,University of Illinois Hospital and Health Sciences System
46,"November 9, 2014
""No growth unless you know someone.""
Current Employee - Anonymous Employee 
Doesn't Recommend
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than 5 years
Pros
Great medical and dental benefits. Also, a few perks/discounts that can serve to be useful. This is a very diverse work culture. There is also plenty of room to work overtime if needed.
Cons
Rare to receive annual raises on time, this will typically only come with the union getting involved. There is a major lacking of proper training, one must be a quick study as well as flexible and resourceful at any given time. Furthermore, a lot of working outside your job title and not a lot of compensation or gratitude.
Advice to Management
Better utilization of staff. Rewards should go towards those that truly have shown exceptional work. Needs to be sense of accountability taken in upper management, lead through example.
Helpful",Sun Nov 09 2014 10:05:23 GMT-0500 (Eastern Standard Time),,,Current Employee ,No growth unless you know someone.,2.0,2.0,1.0,2.0,2.0,1.0,University of Illinois Hospital and Health Sciences System
47,"October 30, 2014
Helpful (1)
""Lots of unrealized potential here, hard to overcome the lack of willingness to change""
Former Employee - Anonymous Employee 
Doesn't Recommend
Neutral Outlook
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 3 years
Pros
Many patients are thankful that they can receive care at the hospital. Hospital has a strong IT infrastructure and a long history using the Electronic Medical Record. There are some very good and caring attending physicians.
Cons
Leadership lacks the willingness to support changes that have to be made. Physicians want to be engaged and educated and there are no resources to support those efforts.
Advice to Management
Listen to those who work for the hospital and know what needs to be done. Stop hiring consultants to find out what the issues are and how to solve them.
Helpful (1)",Thu Oct 30 2014 05:38:41 GMT-0400 (Eastern Daylight Time),,,Former Employee ,"Lots of unrealized potential here, hard to overcome the lack of willingness to change",3.0,2.0,2.0,3.0,4.0,2.0,University of Illinois Hospital and Health Sciences System
48,"October 11, 2014
""Room for improvement, good place.""
Former Employee - Anonymous Employee in Chicago, IL
Recommends
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 5 years
Pros
You have the freedom to be creative and come up with solutions. It's a big organization for room to grow. Benefits are good.
Cons
There is a LOT to improve in as an organization. If not a hourly worker your work/life can be hard to balance- so be strong with ensuring you make your life a priority. Top level management is always changing. Its impossible to fire anyone... therefore those lazy coworkers will always be there!
Advice to Management
Increase HR. There were a lot of challenges in my department yet we felt that we did not have anyone in HR to help work through issues. The culture should not revolve around certain individuals who have been with the hospital for a long time. If HR gets multiple reports about an individual they should address it and make changes- not clean the slate because there is new management.
Helpful",Sat Oct 11 2014 16:29:08 GMT-0400 (Eastern Daylight Time),,"Chicago, IL",Former Employee ,"Room for improvement, good place.",3.0,2.0,3.0,4.0,5.0,2.0,University of Illinois Hospital and Health Sciences System
49,"June 23, 2014
Helpful (1)
""Great company with good people""
Current Employee - IT Technical Associate in Chicago, IL
Recommends
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than a year
Pros
Management listens to what you have to say and in turn give a great deal of clarity on the direction of the organization and what that in turn means to you. The compensation is good especially when factoring in large amount of paid time off and virtually no expectation to work from home.
Cons
Due to the unique way the University runs the hospital and the medical colleges, politics can get in the way of progress. Most non-management employees in the Information Services department recently became part of the SEIU union, this is unconventional and not necessarily a Con but it should be mentioned.
Helpful (1)",Mon Jun 23 2014 18:14:44 GMT-0400 (Eastern Daylight Time), IT Technical Associate,"Chicago, IL",Current Employee ,Great company with good people,4.0,4.0,2.0,3.0,4.0,4.0,University of Illinois Hospital and Health Sciences System
50,"November 23, 2013
Helpful (3)
""Good but read the Cons""
Former Employee - Registered Nurse in Chicago, IL
Recommends
I worked at University of Illinois Hospital & Health Sciences System full-time for more than 10 years
Pros
Academic setting, good docs, interesting residents, challenging patients, union contract, great benefits and pay
Cons
Culture discourages employees from striving for better performance, management tries to find loopholes in contract instead of abiding by it, hires from outside rather then move from within for cheaper labor and less benefits, hard for nurses to change units to enhance their profession and mgmt knows the nurse usually won't leave the ""u"" after passing probation so the nurse stagnates and just """"does the job""...
Show More
Advice to Management
Follow the contract in the spirit it was written, remember the Golden rule. Your nurses are the heart and soul of the unit, treat them as professionals, mentor them.
Helpful (3)",Sat Nov 23 2013 06:49:39 GMT-0500 (Eastern Standard Time), Registered Nurse,"Chicago, IL",Former Employee ,Good but read the Cons,3.0,4.0,1.0,2.0,5.0,1.0,University of Illinois Hospital and Health Sciences System
51,"August 2, 2013
Helpful (1)
""Good benefits, but trying to advance has been moving at a snail's pace.""
 Doesn't Recommend
I have been working at University of Illinois Hospital & Health Sciences System
Pros
Good benefits and some good people
Cons
Legalities, paperwork, culture, no raise in the last 3 years I've been there.
Advice to Management
Get it together and maybe we would stop threatening to strike
Helpful (1)",Fri Aug 02 2013 12:34:38 GMT-0400 (Eastern Daylight Time),,, ,"Good benefits, but trying to advance has been moving at a snail's pace.",2.0,1.0,1.0,2.0,3.0,1.0,University of Illinois Hospital and Health Sciences System
52,"July 30, 2012
Helpful (1)
""Challenging clinical experiences, many opportunities for professional growth""
Current Employee - Nurse Practitioner in Chicago, IL
Recommends
Neutral Outlook
I have been working at University of Illinois Hospital & Health Sciences System full-time for more than 10 years
Pros
I found the diverse work force and patient population culturally stimulating, professional staff is dedicated to quality patient care and supports one another to this end.
Cons
Working within an organization as large as this can be frustrating at times as the capacity to make rapid change gets bogged down within the bureaucracy, e.g. hiring and replacing staff requires a long search and approval process
Helpful (1)",Mon Jul 30 2012 09:11:13 GMT-0400 (Eastern Daylight Time), Nurse Practitioner,"Chicago, IL",Current Employee ,"Challenging clinical experiences, many opportunities for professional growth",4.0,4.0,4.0,4.0,4.0,4.0,University of Illinois Hospital and Health Sciences System
